10000	7179999	4385485	4755629	5746046	7339116	3209064	6596944	2792442	3407128	6570095	6150612	4697051	6998537	5424491	4320619	6074503	5670748	7135641																																																																																																																		
10001	6484203	6321338	6711615	6708212																																																																																																																																
10002	7188809																																																																																																																																			
10003	6434223	5684863	5898762	5561707	6403120	4930150	6512415	5251252	6274171	6424703	5128984	5351285	6419958																																																																																																																							
10004	5894704																																																																																																																																			
10005	5834489	7139732	5670524	276654	1456643	4870086	2736019	5233078																																																																																																																												
10006	5137902	5138069	5616599																																																																																																																																	
10007	6907315	6044205	6088717	6757710	6615226	5862325	6269369																																																																																																																													
10008	6969113	 D447207	1751381	2474286	 D451164																																																																																																																															
10009	3016915	6640200	3100000																																																																																																																																	
1000	2898260	5948846	6846863																																																																																																																																	
10010	D469840																																																																																																																																			
10011	5400402	6036428	5823735																																																																																																																																	
10012	6036428	5823735																																																																																																																																		
10013	7089201	1907589	6056071	6047781	3098349	6085851	6068069																																																																																																																													
10014	5964222	5799652	5860857	 D556503	5924419																																																																																																																															
10015	0																																																																																																																																			
10016	6298577	6266892	7264242	5176774	4848437																																																																																																																															
10017	6323489	4958080	6624420																																																																																																																																	
10018	5615342	5493490	5367627																																																																																																																																	
10019	6434223	6458973	5255309	5684863	6784873	5974120	5898762	5561707	6678360	3454107	4930150	6512415	5815551	5351285	4625081																																																																																																																					
1001	5446747	2368039																																																																																																																																		
10020	54753	9626707	5327144																																																																																																																																	
10021	5280909	5321241	6224958	4652998	6431983	5135224	5752882	5197094	4837728	5046736	6607441	5580309	5836817	6565434	6620046	5290033	5287269	6244958	6319125	5761647	5655961	6832958																																																																																																														
10022	5687939	3000000	6068120	5673170																																																																																																																																
10023	6397547	6421970																																																																																																																																		
10024	6341289	6172884	6091611																																																																																																																																	
10025	D562101	5850650	 D507167																																																																																																																																	
10026	6203529																																																																																																																																			
10027	7344096	7311276	7040559	5813510	7063252	5742034																																																																																																																														
10028	D423669	 D539426																																																																																																																																		
10029	5164405																																																																																																																																			
1002	6836420	5530841	5680318	5748488																																																																																																																																
10030	5256850	6919373	5156850	9170000	4956181	5326570	6930129																																																																																																																													
10031	5739414	5379414																																																																																																																																		
10032	6813612	5422690	4854329																																																																																																																																	
10033	5987498																																																																																																																																			
10034	2151420	 D420760	 D430951	 D395096	 D455515	 D461766	 D464767	 D535052	 D461591	 D430341	 D394325																																																																																																																									
10035	6535882	6948021	6272493	6434563																																																																																																																																
10036	6683697	7075673	7184162	6094505																																																																																																																																
10037	6426916	6034918	80107	3969706	5915105	5145182	7264242	6378020	6452863	2404923	6324120																																																																																																																									
10038	5606133	5323655																																																																																																																																		
10039	5235326																																																																																																																																			
1003	5161825																																																																																																																																			
10040	5352605																																																																																																																																			
10041	0																																																																																																																																			
10042	6107024	6322727	6514717																																																																																																																																	
